Wavelength,red,yellow,blue
350,0.45,0.305,0.062
351,0.442,0.316,0.062
352,0.435,0.327,0.062
353,0.428,0.337,0.061
354,0.42,0.348,0.061
355,0.413,0.358,0.061
356,0.408,0.369,0.061
357,0.406,0.379,0.06
358,0.405,0.39,0.06
359,0.404,0.4,0.06
360,0.403,0.413,0.062
361,0.402,0.428,0.063
362,0.401,0.444,0.064
363,0.4,0.46,0.065
364,0.399,0.476,0.067
365,0.398,0.492,0.068
366,0.396,0.508,0.069
367,0.395,0.524,0.071
368,0.394,0.54,0.072
369,0.396,0.556,0.073
370,0.4,0.57,0.075
371,0.403,0.582,0.076
372,0.406,0.594,0.077
373,0.409,0.605,0.078
374,0.413,0.617,0.08
375,0.416,0.629,0.081
376,0.419,0.641,0.083
377,0.422,0.653,0.085
378,0.425,0.665,0.087
379,0.429,0.679,0.089
380,0.432,0.696,0.092
381,0.435,0.713,0.094
382,0.438,0.73,0.096
383,0.442,0.747,0.098
384,0.445,0.764,0.1
385,0.448,0.781,0.102
386,0.451,0.798,0.104
387,0.455,0.813,0.107
388,0.458,0.827,0.109
389,0.46,0.84,0.111
390,0.463,0.853,0.113
391,0.466,0.867,0.115
392,0.469,0.88,0.117
393,0.471,0.894,0.119
394,0.474,0.907,0.121
395,0.477,0.92,0.123
396,0.48,0.933,0.125
397,0.482,0.943,0.127
398,0.485,0.953,0.129
399,0.488,0.963,0.131
400,0.491,0.973,0.133
401,0.493,0.983,0.134
402,0.496,0.993,0.136
403,0.499,1.003,0.138
404,0.502,1.013,0.14
405,0.504,1.023,0.142
406,0.507,1.033,0.144
407,0.51,1.041,0.146
408,0.513,1.047,0.148
409,0.515,1.053,0.148
410,0.518,1.058,0.145
411,0.521,1.064,0.142
412,0.523,1.069,0.139
413,0.526,1.075,0.136
414,0.529,1.08,0.132
415,0.532,1.086,0.129
416,0.535,1.091,0.126
417,0.54,1.097,0.123
418,0.545,1.103,0.117
419,0.549,1.108,0.11
420,0.554,1.114,0.103
421,0.559,1.119,0.097
422,0.564,1.125,0.09
423,0.568,1.13,0.085
424,0.573,1.135,0.081
425,0.578,1.135,0.077
426,0.583,1.135,0.073
427,0.587,1.135,0.069
428,0.592,1.135,0.066
429,0.597,1.135,0.062
430,0.602,1.135,0.058
431,0.606,1.135,0.054
432,0.611,1.135,0.05
